Locality,Property_Type,BHK,Bathrooms,Balconies,Area_SqFt,Age_Years,Floor_No,Total_Floors,Furnishing,Parking_Spaces,Distance_From_Metro_KM,Price_INR
Karol Bagh,Apartment,4,4,3,886.4,36,14,18,Unfurnished,1,1.41,8982000.0
Pitampura,Apartment,3,2,1,1048.2,24,10,18,Fully-Furnished,1,1.26,7736000.0
Pitampura,Apartment,2,2,3,1163.0,15,14,22,Semi-Furnished,1,0.98,7704000.0
Golf Links,Apartment,2,2,0,956.6,28,0,4,Semi-Furnished,1,1.63,13436000.0
Shahdara,Apartment,3,3,0,925.5,23,10,16,Unfurnished,0,0.19,3792000.0
Chattarpur,Builder Floor,2,2,2,1226.1,37,6,7,Fully-Furnished,1,12.68,6165000.0
Karol Bagh,Apartment,3,3,3,1055.9,27,13,18,Fully-Furnished,1,0.42,8019000.0
Chattarpur,Builder Floor,1,1,0,1068.7,39,11,17,Fully-Furnished,1,1.32,4917000.0
Najafgarh,Apartment,3,3,1,711.7,29,6,13,Semi-Furnished,1,4.03,2545000.0
Pitampura,Villa,3,3,1,3630.6,33,8,11,Semi-Furnished,2,1.41,30217000.0
Vasant Vihar,Apartment,2,2,1,736.2,18,10,16,Unfurnished,1,2.62,12012000.0
Paschim Vihar,Independent House,1,1,1,2428.9,27,9,17,Fully-Furnished,2,0.85,20956000.0
Model Town,Apartment,3,3,1,1131.2,3,11,15,Unfurnished,2,1.8,12576000.0
Shahdara,Apartment,4,4,1,1339.0,36,2,10,Unfurnished,1,2.02,6964000.0
Dwarka,Apartment,2,2,2,927.0,23,1,10,Fully-Furnished,0,3.85,5920000.0
Pitampura,Independent House,4,4,3,2684.4,12,10,16,Unfurnished,2,1.58,24065000.0
Shahdara,Builder Floor,2,2,1,1351.3,30,11,20,Semi-Furnished,2,2.17,6379000.0
Uttam Nagar,Villa,4,2,1,4008.0,14,9,10,Fully-Furnished,2,4.91,31225000.0
Paschim Vihar,Builder Floor,2,2,3,1001.0,20,12,21,Unfurnished,0,2.22,8585000.0
Janakpuri,Apartment,1,1,1,1014.1,4,9,13,Unfurnished,0,0.06,7121000.0
Karol Bagh,Builder Floor,3,3,1,1227.8,25,12,13,Semi-Furnished,2,3.88,10001000.0
Najafgarh,Apartment,2,2,0,984.8,2,0,3,Semi-Furnished,1,2.04,4020000.0
Shahdara,Apartment,1,1,2,1271.1,3,0,2,Unfurnished,1,2.95,5966000.0
Lajpat Nagar,Apartment,2,2,1,1132.2,16,13,22,Unfurnished,0,3.36,8819000.0
Karol Bagh,Independent House,3,3,0,1867.9,34,4,9,Unfurnished,0,0.63,14464000.0
Lajpat Nagar,Builder Floor,3,3,1,1879.5,37,5,10,Semi-Furnished,2,0.8,14897000.0
Shahdara,Apartment,2,2,2,1167.2,27,0,4,Unfurnished,0,2.63,4904000.0
Pitampura,Independent House,1,1,0,2441.3,38,7,10,Unfurnished,0,2.3,13696000.0
Model Town,Apartment,2,2,3,1650.3,32,13,20,Semi-Furnished,0,3.32,14984000.0
Uttam Nagar,Independent House,2,2,2,2311.1,8,1,2,Semi-Furnished,1,1.04,13969000.0
Defence Colony,Independent House,2,2,0,1528.9,3,6,7,Fully-Furnished,1,1.57,37455000.0
Chattarpur,Apartment,3,3,0,1038.7,27,4,8,Semi-Furnished,1,0.21,6417000.0
Greater Kailash,Apartment,2,2,1,1201.4,0,2,5,Unfurnished,0,0.66,18652000.0
Hauz Khas,Apartment,3,2,2,1271.9,30,4,13,Semi-Furnished,1,1.38,17021000.0
Uttam Nagar,Apartment,1,1,1,1203.8,37,0,7,Fully-Furnished,1,0.69,5419000.0
Defence Colony,Apartment,2,2,2,1111.3,9,8,11,Unfurnished,0,2.59,17760000.0
Model Town,Apartment,2,2,1,1601.4,6,7,13,Semi-Furnished,0,0.63,14671000.0
Dwarka,Apartment,5,3,2,1151.4,25,0,4,Unfurnished,2,1.65,6933000.0
Rohini,Builder Floor,4,3,1,1476.1,8,2,5,Semi-Furnished,1,6.39,8831000.0
Paschim Vihar,Apartment,3,3,1,1507.2,20,2,11,Unfurnished,1,3.67,13080000.0
Dwarka,Apartment,2,2,2,1215.1,19,9,18,Unfurnished,0,3.02,8085000.0
Saket,Builder Floor,3,3,2,1138.5,16,14,19,Unfurnished,0,1.42,13295000.0
Vikaspuri,Independent House,3,3,3,2135.2,31,8,14,Semi-Furnished,0,6.05,13796000.0
Vikaspuri,Builder Floor,2,2,1,1183.2,32,2,7,Semi-Furnished,1,2.45,5898000.0
Mayur Vihar,Independent House,3,2,0,2636.2,4,10,12,Fully-Furnished,2,3.33,19698000.0
Rohini,Apartment,3,3,1,800.5,38,14,20,Fully-Furnished,1,0.7,4782000.0
Najafgarh,Builder Floor,2,2,2,969.4,26,8,16,Semi-Furnished,0,2.62,3278000.0
Vasant Vihar,Apartment,2,2,2,1337.2,35,12,13,Semi-Furnished,2,3.64,20134000.0
Greater Kailash,Apartment,1,1,1,1421.5,15,8,10,Unfurnished,0,2.82,14258000.0
Shahdara,Apartment,3,2,0,915.2,21,10,18,Semi-Furnished,1,2.52,4155000.0
Janakpuri,Builder Floor,3,3,1,1459.6,29,8,14,Unfurnished,1,2.36,9865000.0
Najafgarh,Apartment,2,2,3,905.1,35,9,10,Fully-Furnished,0,0.11,3579000.0
Greater Kailash,Apartment,3,3,1,1539.4,37,7,8,Semi-Furnished,1,0.31,24574000.0
Greater Kailash,Independent House,2,2,1,2074.0,19,12,13,Unfurnished,0,1.64,30354000.0
Rohini,Apartment,3,3,2,1116.5,12,13,20,Unfurnished,1,0.15,6725000.0
Defence Colony,Apartment,3,2,1,862.0,0,7,13,Semi-Furnished,2,0.11,16305000.0
Lajpat Nagar,Builder Floor,2,2,1,1813.5,1,14,20,Semi-Furnished,1,2.6,17440000.0
Rohini,Apartment,3,3,1,760.0,1,8,12,Semi-Furnished,1,2.17,5272000.0
Mayur Vihar,Independent House,2,2,1,1917.2,17,5,7,Unfurnished,1,0.18,10990000.0
Lajpat Nagar,Builder Floor,2,2,0,1751.5,22,13,19,Semi-Furnished,0,0.78,16838000.0
Greater Kailash,Apartment,4,3,1,1427.0,7,3,12,Semi-Furnished,0,0.7,22881000.0
Model Town,Builder Floor,2,2,3,2008.3,2,10,14,Unfurnished,0,3.87,20267000.0
Mayur Vihar,Apartment,3,3,1,1350.7,4,4,6,Unfurnished,0,0.5,8411000.0
Shahdara,Independent House,2,2,2,872.3,38,12,14,Unfurnished,1,2.6,3478000.0
Greater Kailash,Builder Floor,3,2,1,1351.4,30,3,9,Fully-Furnished,0,1.22,20636000.0
Defence Colony,Builder Floor,2,2,2,1368.3,1,7,10,Fully-Furnished,0,4.88,25646000.0
Pitampura,Apartment,2,2,1,1394.4,12,7,16,Fully-Furnished,1,0.68,10452000.0
Karol Bagh,Apartment,5,2,1,657.4,8,6,8,Fully-Furnished,0,5.63,7634000.0
Greater Kailash,Independent House,2,2,2,1412.4,25,0,8,Fully-Furnished,0,3.46,20529000.0
Najafgarh,Apartment,3,3,1,1091.7,34,3,9,Semi-Furnished,2,8.11,3862000.0
Mayur Vihar,Apartment,2,2,2,1157.9,0,2,10,Unfurnished,2,0.18,8619000.0
Najafgarh,Builder Floor,1,1,1,1705.9,28,9,16,Semi-Furnished,1,0.23,4358000.0
Dwarka,Builder Floor,4,4,1,1218.5,14,5,6,Unfurnished,1,1.76,10139000.0
Saket,Builder Floor,3,3,0,1425.2,29,11,18,Semi-Furnished,1,0.38,14344000.0
Uttam Nagar,Independent House,4,4,3,2228.4,6,3,11,Unfurnished,1,1.82,15170000.0
Defence Colony,Apartment,4,3,0,1366.6,29,2,9,Unfurnished,2,2.83,22627000.0
Karol Bagh,Apartment,3,3,1,1239.1,9,12,15,Unfurnished,1,0.29,12559000.0
Mayur Vihar,Independent House,3,3,1,2213.8,19,8,10,Semi-Furnished,0,5.12,14466000.0
Chattarpur,Builder Floor,1,1,1,1658.4,12,3,6,Semi-Furnished,1,0.71,9139000.0
Saket,Independent House,3,3,2,2382.9,28,8,12,Semi-Furnished,0,0.02,28651000.0
Rohini,Builder Floor,2,2,2,1445.4,20,13,16,Unfurnished,2,0.85,7764000.0
Mayur Vihar,Apartment,4,2,2,1305.3,36,14,17,Semi-Furnished,1,1.16,8123000.0
Model Town,Apartment,4,3,1,1109.5,3,4,13,Unfurnished,2,0.26,13248000.0
Hauz Khas,Builder Floor,2,2,1,1396.0,33,10,12,Semi-Furnished,0,0.8,15319000.0
Pitampura,Apartment,2,2,1,1517.1,16,11,20,Semi-Furnished,2,1.19,11608000.0
Model Town,Villa,5,3,3,4249.4,9,12,13,Unfurnished,2,2.88,56763000.0
Rohini,Villa,3,3,0,2529.7,16,13,19,Unfurnished,1,0.75,17632000.0
Model Town,Apartment,3,2,2,549.9,24,14,23,Fully-Furnished,0,3.01,5765000.0
Golf Links,Independent House,2,2,2,2585.2,28,5,8,Unfurnished,1,2.47,44276000.0
Saket,Apartment,2,2,2,1030.1,39,10,18,Semi-Furnished,1,4.08,9802000.0
Saket,Apartment,3,3,1,1035.2,30,2,5,Fully-Furnished,1,2.1,10371000.0
Rohini,Apartment,5,2,0,1300.6,23,8,15,Unfurnished,0,0.51,8280000.0
Karol Bagh,Apartment,4,3,1,968.1,5,0,2,Unfurnished,0,0.95,8789000.0
Najafgarh,Builder Floor,3,3,0,1917.7,32,1,6,Unfurnished,1,0.59,7236000.0
Vasant Vihar,Apartment,2,2,0,845.1,11,0,4,Unfurnished,1,7.69,11455000.0
Karol Bagh,Builder Floor,2,2,0,1261.6,24,9,15,Unfurnished,0,0.75,9587000.0
Dwarka,Builder Floor,3,3,2,1144.2,3,5,7,Unfurnished,1,2.16,9436000.0
Golf Links,Apartment,2,2,3,1468.2,22,11,13,Unfurnished,0,11.09,18525000.0
Najafgarh,Apartment,3,2,0,1114.8,11,14,17,Unfurnished,1,0.91,4504000.0
Najafgarh,Builder Floor,4,4,0,1065.3,30,0,9,Semi-Furnished,0,0.51,4193000.0
Dwarka,Builder Floor,4,3,0,1668.7,12,11,16,Fully-Furnished,1,0.15,12333000.0
Defence Colony,Apartment,5,4,1,1202.1,38,9,18,Semi-Furnished,0,0.27,19172000.0
Vasant Vihar,Apartment,2,2,1,945.0,17,9,11,Fully-Furnished,2,0.96,15223000.0
Mayur Vihar,Apartment,3,3,2,1267.1,23,11,16,Fully-Furnished,1,2.73,6740000.0
Saket,Apartment,2,2,0,1155.2,16,1,6,Semi-Furnished,2,1.62,11021000.0
Najafgarh,Apartment,4,2,2,1742.9,16,11,17,Unfurnished,2,1.27,7346000.0
Najafgarh,Apartment,3,3,2,1414.3,13,6,12,Unfurnished,1,2.34,4095000.0
Uttam Nagar,Apartment,2,2,0,545.3,17,12,20,Semi-Furnished,2,0.6,2511000.0
Mayur Vihar,Builder Floor,5,4,3,1321.5,18,3,6,Semi-Furnished,1,1.78,8535000.0
Najafgarh,Villa,3,3,1,3583.7,5,6,11,Unfurnished,1,0.96,18948000.0
Vasant Vihar,Apartment,2,2,1,999.7,19,13,19,Unfurnished,1,0.25,16785000.0
Defence Colony,Apartment,2,2,1,1093.7,26,3,8,Unfurnished,1,0.6,11863000.0
Mayur Vihar,Independent House,2,2,2,2442.5,23,0,3,Unfurnished,2,0.31,16007000.0
Greater Kailash,Builder Floor,3,3,1,1596.4,13,10,15,Unfurnished,1,1.47,21920000.0
Najafgarh,Villa,3,3,2,3330.4,38,14,20,Semi-Furnished,0,1.09,15533000.0
Hauz Khas,Builder Floor,3,3,0,1319.5,39,0,8,Fully-Furnished,2,0.68,16979000.0
Golf Links,Villa,2,2,1,2574.8,15,9,15,Unfurnished,1,0.0,57184000.0
Shahdara,Apartment,3,3,1,1493.6,20,1,4,Semi-Furnished,2,1.2,8916000.0
Defence Colony,Apartment,2,2,2,976.0,39,8,15,Unfurnished,1,1.04,11934000.0
Defence Colony,Apartment,4,3,2,850.8,23,3,8,Unfurnished,2,1.81,13092000.0
Hauz Khas,Apartment,2,2,3,950.3,20,14,18,Semi-Furnished,2,0.37,14408000.0
Pitampura,Independent House,3,3,2,1984.0,10,14,23,Fully-Furnished,1,0.38,19137000.0
Golf Links,Apartment,2,2,0,1456.3,2,8,12,Unfurnished,1,1.27,22858000.0
Golf Links,Builder Floor,4,2,1,2019.3,30,12,17,Unfurnished,1,1.03,37465000.0
Uttam Nagar,Apartment,2,2,1,1315.6,14,10,19,Semi-Furnished,0,0.92,6533000.0
Vasant Vihar,Independent House,5,4,1,1913.3,0,11,20,Fully-Furnished,1,3.59,53165000.0
Dwarka,Apartment,4,3,3,621.4,34,10,13,Fully-Furnished,1,4.36,4678000.0
Janakpuri,Apartment,3,3,3,1732.0,0,11,16,Unfurnished,1,0.52,18257000.0
Vikaspuri,Apartment,4,3,3,810.9,1,2,5,Unfurnished,0,1.38,4963000.0
Rohini,Villa,1,1,1,3153.7,1,2,9,Unfurnished,1,1.8,21623000.0
Shahdara,Apartment,3,3,1,954.5,3,5,11,Unfurnished,1,1.48,5657000.0
Karol Bagh,Independent House,5,3,1,2976.5,34,0,9,Fully-Furnished,1,0.54,33265000.0
Mayur Vihar,Apartment,1,1,2,1106.7,33,9,14,Semi-Furnished,2,0.13,6812000.0
Mayur Vihar,Independent House,2,2,1,1995.4,32,13,16,Unfurnished,0,0.88,12278000.0
Lajpat Nagar,Apartment,3,3,3,841.6,27,1,10,Unfurnished,1,0.68,8272000.0
Greater Kailash,Apartment,3,3,0,910.0,2,4,7,Fully-Furnished,1,2.76,15059000.0
Shahdara,Apartment,2,2,0,883.9,20,13,22,Unfurnished,1,0.15,3653000.0
Defence Colony,Apartment,2,2,1,750.8,11,6,12,Unfurnished,2,0.52,10743000.0
Rohini,Builder Floor,2,2,1,1729.1,7,6,11,Unfurnished,0,0.24,9613000.0
Defence Colony,Villa,2,2,0,4364.6,19,14,16,Unfurnished,1,2.88,71714000.0
Rohini,Apartment,3,3,1,1150.9,39,1,8,Unfurnished,2,0.85,5214000.0
Vasant Vihar,Apartment,2,2,1,1149.3,23,5,11,Unfurnished,0,4.22,15730000.0
Karol Bagh,Apartment,4,3,0,1305.5,26,5,7,Fully-Furnished,0,1.4,9128000.0
Rohini,Builder Floor,4,3,2,1429.0,35,1,6,Fully-Furnished,1,1.16,8746000.0
Karol Bagh,Builder Floor,3,3,0,1256.1,36,2,11,Semi-Furnished,0,3.61,9076000.0
Vikaspuri,Independent House,3,3,3,2624.1,12,11,13,Unfurnished,2,0.24,17949000.0
Uttam Nagar,Apartment,3,3,0,723.8,14,11,19,Semi-Furnished,1,0.74,3492000.0
Hauz Khas,Apartment,2,2,1,1195.3,7,13,14,Unfurnished,2,0.91,15262000.0
Janakpuri,Apartment,3,3,2,1091.1,11,8,14,Fully-Furnished,1,3.0,9414000.0
Vikaspuri,Builder Floor,2,2,2,1847.8,24,8,14,Semi-Furnished,0,1.8,12711000.0
Lajpat Nagar,Apartment,3,3,2,916.5,39,7,15,Unfurnished,1,1.24,6950000.0
Greater Kailash,Apartment,2,2,3,918.5,19,0,7,Unfurnished,1,0.83,13802000.0
Hauz Khas,Apartment,2,2,0,670.5,8,10,15,Semi-Furnished,1,1.79,8917000.0
Najafgarh,Independent House,1,1,1,1378.7,35,11,17,Semi-Furnished,1,0.61,5012000.0
Pitampura,Independent House,1,1,1,2320.3,31,1,6,Semi-Furnished,0,0.46,16092000.0
Hauz Khas,Apartment,2,2,0,1141.4,31,4,6,Semi-Furnished,1,1.15,10315000.0
Golf Links,Independent House,2,2,2,1044.3,13,0,9,Semi-Furnished,2,0.19,23998000.0
Saket,Apartment,4,3,1,722.6,26,8,10,Semi-Furnished,0,11.61,7596000.0
Dwarka,Apartment,4,3,2,828.8,15,5,6,Semi-Furnished,1,8.35,7080000.0
Rohini,Apartment,3,3,1,556.1,27,3,5,Fully-Furnished,1,0.24,2885000.0
Vikaspuri,Villa,4,4,1,2731.2,34,6,11,Fully-Furnished,1,2.67,20978000.0
Rohini,Apartment,1,1,2,1110.3,26,12,17,Unfurnished,1,3.62,4290000.0
Golf Links,Builder Floor,2,2,1,1636.2,34,0,5,Semi-Furnished,2,3.24,28282000.0
Model Town,Independent House,3,3,1,1703.0,24,3,12,Unfurnished,2,0.95,17623000.0
Saket,Builder Floor,2,2,0,1756.1,0,5,10,Semi-Furnished,0,2.44,18091000.0
Mayur Vihar,Apartment,3,3,3,505.6,7,6,8,Unfurnished,1,4.24,3214000.0
Vasant Vihar,Builder Floor,3,3,1,1588.5,3,4,11,Semi-Furnished,0,1.77,35525000.0
Lajpat Nagar,Independent House,3,3,0,1914.5,4,9,11,Unfurnished,1,1.09,16172000.0
Pitampura,Apartment,2,2,2,1240.5,3,12,17,Unfurnished,0,1.63,8638000.0
Saket,Independent House,5,4,2,1748.7,7,0,5,Unfurnished,1,0.06,30785000.0
Lajpat Nagar,Independent House,3,3,0,2405.6,2,0,9,Unfurnished,0,2.25,30367000.0
Golf Links,Apartment,3,3,1,1065.3,5,10,18,Semi-Furnished,2,2.27,24869000.0
Vasant Vihar,Apartment,2,2,2,1110.4,21,2,5,Semi-Furnished,2,5.69,19223000.0
Janakpuri,Apartment,2,2,1,1476.1,34,3,4,Unfurnished,2,1.2,10815000.0
Lajpat Nagar,Apartment,3,3,0,1022.5,27,6,9,Semi-Furnished,1,0.04,9797000.0
Lajpat Nagar,Apartment,1,1,1,1030.9,27,4,6,Unfurnished,0,0.63,6637000.0
Vikaspuri,Apartment,2,2,2,1136.7,25,3,9,Unfurnished,1,0.28,6802000.0
Uttam Nagar,Apartment,3,3,1,799.8,4,9,11,Unfurnished,1,2.18,3957000.0
Vikaspuri,Builder Floor,3,2,0,1024.5,28,3,9,Fully-Furnished,2,5.46,6183000.0
Pitampura,Builder Floor,2,2,1,1753.5,17,0,5,Unfurnished,1,1.99,11075000.0
Saket,Builder Floor,4,3,2,1389.0,31,9,11,Semi-Furnished,0,0.87,13417000.0
Defence Colony,Apartment,3,2,2,829.9,16,7,11,Unfurnished,2,1.92,14809000.0
Paschim Vihar,Apartment,4,3,1,999.2,32,10,19,Unfurnished,1,0.38,7905000.0
Saket,Apartment,3,3,2,1694.5,25,10,14,Fully-Furnished,1,1.01,19588000.0
Model Town,Apartment,2,2,2,1353.8,21,7,8,Unfurnished,0,1.58,11530000.0
Model Town,Builder Floor,3,3,2,1220.2,39,12,20,Semi-Furnished,1,2.12,11837000.0
Paschim Vihar,Apartment,4,4,2,948.6,6,4,9,Semi-Furnished,1,0.2,9484000.0
Dwarka,Apartment,3,2,2,1094.0,26,2,3,Unfurnished,0,0.2,7349000.0
Shahdara,Apartment,2,2,2,1111.9,6,12,15,Semi-Furnished,0,3.59,5034000.0
Dwarka,Builder Floor,2,2,2,2062.6,20,11,15,Fully-Furnished,2,0.42,18362000.0
Lajpat Nagar,Villa,3,2,0,3455.4,5,1,8,Fully-Furnished,0,1.84,37711000.0
Paschim Vihar,Apartment,3,2,0,938.2,9,8,13,Unfurnished,2,0.16,6283000.0
Hauz Khas,Builder Floor,5,5,3,1809.7,22,5,10,Semi-Furnished,2,0.46,30357000.0
Saket,Independent House,1,1,2,1529.2,2,7,16,Fully-Furnished,2,1.96,23592000.0
Shahdara,Apartment,3,3,2,1141.1,5,11,16,Semi-Furnished,0,0.15,4951000.0
Rohini,Apartment,4,3,1,1219.4,6,13,15,Unfurnished,1,0.13,9747000.0
Lajpat Nagar,Apartment,3,2,1,1165.2,33,0,6,Unfurnished,1,1.89,8939000.0
Dwarka,Builder Floor,3,3,0,1136.3,33,6,10,Unfurnished,2,1.08,6327000.0
Model Town,Independent House,1,1,1,2395.2,6,6,8,Unfurnished,1,1.08,27422000.0
Karol Bagh,Builder Floor,2,2,3,1487.4,4,12,13,Unfurnished,1,2.39,12642000.0
Uttam Nagar,Builder Floor,3,3,0,944.7,25,9,13,Semi-Furnished,2,1.03,4866000.0
Lajpat Nagar,Apartment,2,2,0,1294.1,29,9,12,Unfurnished,0,1.59,8533000.0
Pitampura,Apartment,1,1,1,1022.2,23,7,9,Unfurnished,1,1.01,4831000.0
Janakpuri,Apartment,3,3,1,1113.0,4,14,16,Unfurnished,0,0.33,9788000.0
Rohini,Independent House,2,2,2,2148.4,37,9,18,Fully-Furnished,1,0.65,12597000.0
Model Town,Apartment,2,2,2,897.8,3,12,20,Unfurnished,1,0.22,10592000.0
Lajpat Nagar,Builder Floor,4,4,2,1657.6,34,7,15,Semi-Furnished,1,0.28,15031000.0
Saket,Apartment,5,3,1,1456.8,32,7,12,Fully-Furnished,1,4.65,17127000.0
Dwarka,Independent House,2,2,0,2098.7,21,0,1,Semi-Furnished,1,1.22,17138000.0
Janakpuri,Independent House,2,2,1,1622.0,26,6,10,Unfurnished,1,0.05,14021000.0
Vikaspuri,Builder Floor,2,2,1,838.1,25,7,8,Unfurnished,1,0.77,6203000.0
Vikaspuri,Apartment,3,3,2,643.2,32,6,11,Semi-Furnished,1,4.85,4151000.0
Vikaspuri,Apartment,2,2,0,1098.8,8,0,6,Unfurnished,0,1.3,6971000.0
Saket,Apartment,3,3,1,868.7,4,7,12,Fully-Furnished,2,0.46,11413000.0
Saket,Apartment,4,3,2,588.0,18,1,8,Semi-Furnished,1,1.01,7282000.0
Rohini,Apartment,4,4,1,1455.6,13,14,23,Fully-Furnished,1,0.23,7633000.0
Greater Kailash,Builder Floor,2,2,0,1479.6,8,8,13,Fully-Furnished,0,7.07,20656000.0
Pitampura,Builder Floor,1,1,1,1724.5,7,1,2,Unfurnished,0,1.09,9711000.0
Model Town,Apartment,1,1,0,592.2,36,11,20,Semi-Furnished,2,1.56,4486000.0
Chattarpur,Independent House,1,1,2,1889.2,31,1,10,Semi-Furnished,1,5.2,10681000.0
Defence Colony,Apartment,3,3,2,996.0,6,9,13,Unfurnished,0,2.17,15450000.0
Paschim Vihar,Apartment,3,3,1,1339.1,31,12,17,Semi-Furnished,0,1.36,11317000.0
Chattarpur,Builder Floor,2,2,1,833.0,27,0,5,Fully-Furnished,0,0.03,6077000.0
Vasant Vihar,Builder Floor,5,4,1,1144.8,11,11,12,Fully-Furnished,0,1.95,24789000.0
Paschim Vihar,Apartment,3,3,3,1118.8,20,13,15,Semi-Furnished,1,0.34,10515000.0
Defence Colony,Apartment,5,4,2,1677.0,36,7,14,Fully-Furnished,0,0.67,30628000.0
Paschim Vihar,Builder Floor,2,2,1,1034.8,10,0,8,Semi-Furnished,1,1.67,8569000.0
Defence Colony,Apartment,2,2,1,841.1,11,13,21,Fully-Furnished,1,2.62,15163000.0
Najafgarh,Villa,4,4,1,2484.2,13,2,7,Fully-Furnished,1,6.62,14242000.0
Chattarpur,Apartment,4,2,1,800.0,14,1,6,Unfurnished,1,2.03,6863000.0
Greater Kailash,Independent House,3,3,1,2541.7,38,1,8,Fully-Furnished,1,3.09,41395000.0
Janakpuri,Apartment,2,2,2,1258.5,12,7,11,Unfurnished,1,0.63,10253000.0
Paschim Vihar,Apartment,2,2,0,1716.3,19,10,17,Semi-Furnished,0,1.77,12302000.0
Shahdara,Builder Floor,3,2,1,1802.0,10,9,11,Fully-Furnished,1,3.7,9947000.0
Golf Links,Apartment,3,3,3,675.3,18,5,8,Unfurnished,0,0.07,14569000.0
Vikaspuri,Apartment,3,3,2,1279.9,13,7,16,Fully-Furnished,1,0.49,10573000.0
Hauz Khas,Apartment,4,3,3,1155.0,18,11,15,Semi-Furnished,2,2.61,18306000.0
Rohini,Apartment,2,2,1,1127.7,29,9,17,Fully-Furnished,1,0.02,6188000.0
Najafgarh,Builder Floor,3,2,3,1490.2,1,12,13,Fully-Furnished,0,0.75,8271000.0
Chattarpur,Independent House,3,3,2,1846.3,7,12,15,Unfurnished,1,4.47,13086000.0
Janakpuri,Apartment,3,3,1,1043.1,33,2,3,Semi-Furnished,1,0.26,8051000.0
Paschim Vihar,Apartment,3,3,1,1223.5,18,12,17,Unfurnished,0,0.82,8472000.0
Model Town,Apartment,1,1,1,1018.9,24,11,19,Semi-Furnished,0,1.9,7077000.0
Vikaspuri,Independent House,2,2,3,1465.6,32,14,15,Unfurnished,0,1.52,10483000.0
Golf Links,Apartment,3,3,1,695.4,34,2,4,Unfurnished,0,0.07,10714000.0
Uttam Nagar,Apartment,1,1,0,1171.5,32,6,12,Semi-Furnished,0,3.44,3872000.0
Golf Links,Builder Floor,5,3,2,1891.7,35,8,12,Semi-Furnished,1,3.51,40357000.0
Vikaspuri,Independent House,3,3,1,1806.3,28,3,5,Semi-Furnished,2,0.99,13577000.0
Paschim Vihar,Apartment,3,3,1,854.6,15,2,3,Unfurnished,1,3.33,4310000.0
Paschim Vihar,Apartment,2,2,1,1326.6,7,5,14,Semi-Furnished,0,1.44,10282000.0
Saket,Apartment,3,3,1,1139.5,1,2,9,Semi-Furnished,0,4.43,15182000.0
Dwarka,Apartment,3,3,0,1039.3,7,3,8,Fully-Furnished,1,2.88,8250000.0
Model Town,Apartment,2,2,1,1313.2,7,10,17,Semi-Furnished,1,1.41,15326000.0
Shahdara,Apartment,4,4,2,1154.9,36,3,4,Semi-Furnished,0,0.67,5421000.0
Defence Colony,Villa,3,2,1,4105.2,20,4,12,Fully-Furnished,1,3.21,84921000.0
Janakpuri,Apartment,1,1,1,811.0,30,11,15,Semi-Furnished,1,0.28,4109000.0
Karol Bagh,Builder Floor,1,1,3,1084.9,1,6,14,Fully-Furnished,0,0.48,11241000.0
Shahdara,Independent House,4,4,0,2459.8,36,8,11,Fully-Furnished,0,5.11,14853000.0
Chattarpur,Apartment,3,3,1,1481.8,25,3,12,Unfurnished,0,1.12,9347000.0
Chattarpur,Independent House,1,1,2,2029.1,1,4,7,Semi-Furnished,1,0.34,13249000.0
Saket,Builder Floor,4,3,3,1663.7,25,11,13,Unfurnished,2,0.11,18944000.0
Rohini,Apartment,3,2,1,640.9,13,13,14,Semi-Furnished,2,0.12,4140000.0
Vasant Vihar,Apartment,3,3,0,1425.4,1,2,11,Unfurnished,1,0.86,25971000.0
Saket,Builder Floor,4,4,2,1386.0,13,9,17,Semi-Furnished,1,1.73,19381000.0
Chattarpur,Apartment,1,1,1,1023.2,37,5,9,Semi-Furnished,1,0.12,5910000.0
Greater Kailash,Builder Floor,3,3,1,1258.8,32,5,14,Unfurnished,0,1.79,17860000.0
Greater Kailash,Apartment,3,3,2,1508.5,21,8,13,Unfurnished,2,0.31,22469000.0
Mayur Vihar,Builder Floor,3,3,0,1432.3,9,2,11,Unfurnished,1,1.97,10034000.0
Vasant Vihar,Villa,3,3,2,2450.7,21,10,12,Unfurnished,2,1.66,61035000.0
Janakpuri,Apartment,4,4,0,1190.0,14,3,9,Unfurnished,1,1.84,9239000.0
Pitampura,Apartment,4,3,1,1474.8,15,8,10,Semi-Furnished,1,0.98,10142000.0
Lajpat Nagar,Apartment,2,2,1,648.2,24,7,16,Unfurnished,0,1.83,5660000.0
Model Town,Builder Floor,2,2,1,909.3,12,4,9,Fully-Furnished,2,0.35,9746000.0
Uttam Nagar,Apartment,4,4,1,1702.8,25,0,6,Unfurnished,1,0.88,7600000.0
Model Town,Builder Floor,1,1,0,1242.9,7,9,11,Unfurnished,0,0.54,9163000.0
Defence Colony,Builder Floor,3,3,2,1428.0,3,2,8,Semi-Furnished,1,3.18,20146000.0
Pitampura,Builder Floor,2,2,0,1224.1,8,14,21,Unfurnished,1,1.63,7834000.0
Saket,Builder Floor,3,3,1,1491.8,29,1,4,Semi-Furnished,0,4.45,17931000.0
Saket,Builder Floor,2,2,0,1438.5,36,11,17,Fully-Furnished,0,0.37,13321000.0
Pitampura,Builder Floor,4,3,0,1565.4,18,13,20,Semi-Furnished,1,1.43,11130000.0
Vikaspuri,Builder Floor,1,1,2,1352.0,14,12,18,Semi-Furnished,1,3.73,8294000.0
